crime,count,broad,detailed
DRV UNDER INFLU OF ALC B/MINOR,46,Alcohol - Driving,DWI 1ST
AGG DWI SBI,11,Alcohol - Driving,DWI 1ST
BOATING W/INTOX. BAC.08,39,Alcohol - Driving,DWI 1ST
BOATING WHILE INTOXICATED,28,Alcohol - Driving,DWI 1ST
DRIVING WHILE INTOXICATED,143564,Alcohol - Driving,DWI 1ST
DWI BAC>=0.15,1451,Alcohol - Driving,DWI 1ST
DWI/OPEN ALCOHOL CONTAINER,6,Alcohol - Driving,DWI 1ST
FLYING W/INTOX. BAC.08,1,Alcohol - Driving,DWI 1ST
DWI 1ST,155319,Alcohol - Driving,DWI 1ST
DWI 1ST OFFENDER BAC .08,112769,Alcohol - Driving,DWI 1ST
DWI 1ST SBI,20,Alcohol - Driving,DWI 1ST
OPERATE BOAT WHILE INTOX,5,Alcohol - Driving,DWI 1ST
DRIVER CONSUMING INTOXICATING,4,Alcohol - Driving,DWI 1ST
CONSUME ALCOHOLIC BEVERAGE-DRI,3,Alcohol - Driving,DWI 1ST
ATT DWI,2,Alcohol - Driving,DWI 1ST
DRIV.CONSUM.AL.BEV.W/IN 4HR.39,1,Alcohol - Driving,DWI 1ST
FLYING WHILE INTOXICATED,1,Alcohol - Driving,DWI 1ST
DWI 1ST OFFENDER BAC>=0.15,8767,Alcohol - Driving,DWI 1ST
FLYING W/INTOX. 2ND BAC.08,1,Alcohol - Driving,DWI 2ND
FLYING WHILE INTOX PRIOR INTOX,1,Alcohol - Driving,DWI 2ND
BOATING W/INT. 2ND BAC.08,7,Alcohol - Driving,DWI 2ND
DRIVING WHILE INTOX PRIOR INTO,23,Alcohol - Driving,DWI 2ND
DRIVING WHILE INTOXICATED-2ND,5570,Alcohol - Driving,DWI 2ND
DWI 2ND,25903,Alcohol - Driving,DWI 2ND
DWI 2ND OFFENDER BAC .08,20641,Alcohol - Driving,DWI 2ND
DWI 2ND SBI,13,Alcohol - Driving,DWI 2ND
BOATING WHILE INTOXICATED--2ND,7,Alcohol - Driving,DWI 2ND
